Name,"CH INDUSTRIAL PRODUCTION INDEX VOLN"
1996/10/31,113.3
1996/11/29,113.4
1996/12/31,114
1997/01/31,110.3
1997/02/28,110.4
1997/03/31,113.5
1997/04/30,111.9
1997/05/30,111.9
1997/06/30,112.1
1997/07/31,108.4
1997/08/29,110.9
1997/09/30,111.1
1997/10/31,111.8
1997/11/28,111.6
1997/12/31,109.2
1998/01/30,101.8
1998/02/27,109.5
1998/03/31,109
1998/04/30,107.2
1998/05/29,108
1998/06/30,107.9
1998/07/31,107.6
1998/08/31,107.9
1998/09/30,110.2
1998/10/30,110.6
1998/11/30,111
1998/12/31,111.5
1999/01/29,117.9
1999/02/26,102.1
1999/03/31,109
1999/04/30,109.1
1999/05/31,108.9
1999/06/30,109.1
1999/07/30,109.3
1999/08/31,109.5
1999/09/30,108.2
1999/10/29,107
1999/11/30,107.6
1999/12/31,107.4
2000/01/31,108.9
2000/02/29,112
2000/03/31,111.9
2000/04/28,111.4
2000/05/31,111.5
2000/06/30,112.2
2000/07/31,112.8
2000/08/31,112.8
2000/09/29,112
2000/10/31,111.4
2000/11/30,110.6
2000/12/29,110.4
2001/01/31,102.3
2001/02/28,119
2001/03/30,112.1
2001/04/30,111.5
2001/05/31,110.2
2001/06/29,110.1
2001/07/31,108.1
2001/08/31,108.1
2001/09/28,109.5
2001/10/31,108.8
2001/11/30,107.9
2001/12/31,108.7
2002/01/31,118.6
2002/02/28,102.7
2002/03/29,110.9
2002/04/30,112.1
2002/05/31,112.9
2002/06/28,112.4
2002/07/31,112.8
2002/08/30,112.7
2002/09/30,113.8
2002/10/31,114.2
2002/11/29,114.5
2002/12/31,114.9
2003/01/31,114.8
2003/02/28,119.8
2003/03/31,116.9
2003/04/30,114.9
2003/05/30,113.7
2003/06/30,116.9
2003/07/31,116.5
2003/08/29,117.1
2003/09/30,116.3
2003/10/31,117.2
2003/11/28,117.9
2003/12/31,118.1
2004/01/30,107.2
2004/02/27,123.2
2004/03/31,119.4
2004/04/30,119.1
2004/05/31,117.5
2004/06/30,116.2
2004/07/30,115.5
2004/08/31,115.9
2004/09/30,116.1
2004/10/29,115.7
2004/11/30,114.8
2004/12/31,114.4
2005/01/31,120.9
2005/02/28,107.6
2005/03/31,115.1
2005/04/29,116
2005/05/31,116.6
2005/06/30,116.8
2005/07/29,116.1
2005/08/31,116
2005/09/30,116.5
2005/10/31,116.1
2005/11/30,116.6
2005/12/30,116.5
2006/01/31,NA
2006/02/28,120.1
2006/03/31,117.8
2006/04/28,116.6
2006/05/31,117.9
2006/06/30,119.5
2006/07/31,116.7
2006/08/31,115.7
2006/09/29,116.1
2006/10/31,114.7
2006/11/30,114.9
2006/12/29,114.7
2007/01/31,NA
2007/02/28,112.6
2007/03/30,117.6
2007/04/30,117.4
2007/05/31,118.1
2007/06/29,119.4
2007/07/31,118
2007/08/31,117.5
2007/09/28,118.9
2007/10/31,117.9
2007/11/30,117.3
2007/12/31,117.4
2008/01/31,NA
2008/02/29,115.4
2008/03/31,117.8
2008/04/30,115.7
2008/05/30,116
2008/06/30,116
2008/07/31,114.7
2008/08/29,112.8
2008/09/30,111.4
2008/10/31,108.2
2008/11/28,105.4
2008/12/31,105.7
2009/01/30,NA
2009/02/27,111
2009/03/31,108.3
2009/04/30,107.3
2009/05/29,108.9
2009/06/30,110.7
2009/07/31,110.8
2009/08/31,112.3
2009/09/30,113.9
2009/10/30,116.1
2009/11/30,119.2
2009/12/31,118.5
2010/01/29,NA
2010/02/26,112.8
2010/03/31,118.1
2010/04/30,117.8
2010/05/31,116.5
2010/06/30,113.7
2010/07/30,113.4
2010/08/31,113.9
2010/09/30,113.3
2010/10/29,113.1
2010/11/30,113.3
2010/12/31,113.5
2011/01/31,NA
2011/02/28,114.9
2011/03/31,114.8
2011/04/29,113.4
2011/05/31,113.3
2011/06/30,115.1
2011/07/29,114
2011/08/31,113.5
2011/09/30,113.8
2011/10/31,113.2
2011/11/30,112.4
2011/12/30,112.8
2012/01/31,NA
2012/02/29,121.3
2012/03/30,111.9
2012/04/30,109.3
2012/05/31,109.6
2012/06/29,109.5
2012/07/31,109.2
2012/08/31,108.9
2012/09/28,109.2
2012/10/31,109.6
2012/11/30,110.1
2012/12/31,110.3
2013/01/31,NA
2013/02/28,109.9
2013/03/29,108.9
2013/04/30,109.3
2013/05/31,109.2
2013/06/28,108.9
2013/07/31,109.7
2013/08/30,110.4
2013/09/30,110.2
2013/10/31,110.3
2013/11/29,110
2013/12/31,109.7
2014/01/31,NA
2014/02/28,108.6
2014/03/31,108.8
2014/04/30,108.7
2014/05/30,108.8
2014/06/30,109.2
2014/07/31,109
2014/08/29,106.9
2014/09/30,108
2014/10/31,107.7
2014/11/28,107.2
2014/12/31,107.9
2015/01/30,NA
2015/02/27,106.8
2015/03/31,105.6
2015/04/30,105.9
2015/05/29,106.1
2015/06/30,106.8
2015/07/31,106
2015/08/31,106.1
2015/09/30,105.7
2015/10/30,105.6
2015/11/30,106.2
2015/12/31,105.9
2016/01/29,NA
2016/02/29,105.4
2016/03/31,106.8
2016/04/29,106
2016/05/31,106
2016/06/30,106.2
2016/07/29,106
2016/08/31,106.3
2016/09/30,106.1
2016/10/31,106.1
2016/11/30,106.2
2016/12/30,106
2017/01/31,NA
2017/02/28,106.3
2017/03/31,107.6
2017/04/28,106.5
2017/05/31,106.5
2017/06/30,107.6
2017/07/31,106.4
2017/08/31,106
2017/09/29,106.6
2017/10/31,106.2
2017/11/30,106.1
2017/12/29,106.2
2018/01/31,NA
2018/02/28,107.2
2018/03/30,106
2018/04/30,107
2018/05/31,106.8
2018/06/29,106
2018/07/31,106
2018/08/31,106.1
2018/09/28,105.8
2018/10/31,105.9
2018/11/30,105.4
2018/12/31,105.7
